Security,N,Nfield,meanOpen,meanClose,meanHigh,meanLow,meanVolumn
A UN EquityFieldData.csv,4558,5,28.81768609,28.8301907,29.22832905,28.42255533,1366693.506
AAL UW EquityFieldData.csv,1023,5,42.15061584,42.16413978,42.7655132,41.55367644,2443773.395
AAP UN EquityFieldData.csv,4050,5,68.47544543,68.48933185,69.20708642,67.75167284,574942.9694
AAPL UW EquityFieldData.csv,8068,5,25.32237595,25.31513357,25.55508341,25.06103211,61614978.13
ABBV UN EquityFieldData.csv,1274,5,59.06471743,59.10518053,59.67856593,58.46745683,1975166.018
ABC UN EquityFieldData.csv,5437,5,32.500743,32.5121034,32.80745154,32.19686704,1755705.23
ABT UN EquityFieldData.csv,8066,5,19.37092767,19.38308722,19.55462256,19.19250808,2557312.65
ACN UN EquityFieldData.csv,4139,5,54.16774583,54.25555448,54.69297439,53.7264489,1461642.233
ADBE UW EquityFieldData.csv,7913,3,-99,-99,27.64964066,26.94404274,5544820.09
ADI UW EquityFieldData.csv,1447,5,57.18360746,57.19327229,57.67149274,56.66065999,840369.7643
ADM UN EquityFieldData.csv,8053,5,20.87032402,20.87271951,21.10078931,20.63640522,1686380.9
ADP UW EquityFieldData.csv,2315,5,63.43775317,63.48843741,63.89194829,62.98627603,975931.2639
ADS UN EquityFieldData.csv,4167,5,110.8809479,110.925294,112.0320936,109.7077101,331033.1212
ADSK UW EquityFieldData.csv,8068,3,-99,-99,22.98095055,22.33407067,2161207.43
AEE UN EquityFieldData.csv,5032,5,40.96117498,40.97362331,41.28285016,40.6238129,497998.3841
AEP UN EquityFieldData.csv,8066,5,38.85384887,38.86801915,39.15508771,38.53360805,728195.4431
AES UN EquityFieldData.csv,5338,5,16.7423604,16.7334736,16.99899895,16.45762516,1773637.962
AET UN EquityFieldData.csv,4288,5,51.34429291,51.37129291,51.93028708,50.78808372,2262439.636
AFL UN EquityFieldData.csv,8065,5,29.82231349,29.83775449,30.1340264,29.51506805,1137433.488
AGN UN EquityFieldData.csv,5106,5,84.96864434,84.93210713,85.95347004,83.91001586,606932.8351
AIG UN EquityFieldData.csv,8063,5,451.2017746,451.0803606,456.047195,445.8463031,731240.4421
AIV UN EquityFieldData.csv,5904,5,27.31724126,27.32502453,27.57515024,27.04537468,477592.2388
AIZ UN EquityFieldData.csv,3501,5,52.45073979,52.47253927,52.96053699,51.95823308,391704.2679
AJG UN EquityFieldData.csv,7488,5,23.2682924,23.28006122,23.4655041,23.06955557,227327.1327
AKAM UW EquityFieldData.csv,4574,4,39.33365928,39.24260728,40.18259158,38.39248384,-99
ALB UN EquityFieldData.csv,5995,5,33.59004656,33.6018014,33.98176832,33.19388694,270733.4689
ALGN UW EquityFieldData.csv,4259,5,33.14045276,33.14349324,33.60722958,32.64729735,339620.6321
ALK UN EquityFieldData.csv,8066,5,15.64627482,15.64633463,15.85098889,15.43296494,709614.1669
ALL UN EquityFieldData.csv,6191,5,41.75812961,41.77777559,42.16539753,41.37969834,1568617.196
ALLE UN EquityFieldData.csv,1037,5,63.67999036,63.69842816,64.21531051,63.14071649,178979.4928
ALXN UW EquityFieldData.csv,5498,5,45.85489307,45.83879089,46.55323365,45.07560311,713977.918
AMAT UW EquityFieldData.csv,8067,5,12.83155294,12.8258435,13.05498705,12.59845356,16446535.21
AMD UR EquityFieldData.csv,755,5,6.659278146,6.658443709,6.80005298,6.515854305,5937018.932
AME UN EquityFieldData.csv,5138,5,22.05416695,22.06868013,22.248808,21.85974005,549778.7094
AMG UN EquityFieldData.csv,5059,5,91.57142874,91.56857881,92.6001629,90.47058796,214087.4147
AMGN UW EquityFieldData.csv,8068,5,50.92184602,50.90902405,51.51302107,50.30191062,7558332.152
AMP UN EquityFieldData.csv,3095,5,73.13313086,73.15892407,73.90914378,72.35929305,640353.0595
AMT UN EquityFieldData.csv,4926,5,48.90104466,48.90752071,49.42263033,48.34535688,1058551.378
AMZN UW EquityFieldData.csv,5193,5,187.8248663,187.8395356,189.9580008,185.5228829,5100250.737
ANDV UN EquityFieldData.csv,8063,5,21.76867102,21.77387532,22.11577559,21.41210981,749017.0797
ANSS UW EquityFieldData.csv,5417,5,37.36351477,37.39873879,37.77085233,36.97554769,274808.1636
ANTM UN EquityFieldData.csv,4072,4,79.07947078,79.13678905,79.9296196,78.28499533,-99
AON UN EquityFieldData.csv,7734,5,39.04422084,39.07695177,39.40855094,38.71213977,617710.0416
AOS UN EquityFieldData.csv,5803,5,12.02839673,12.03386957,12.14891205,11.90838408,524692.2625
APA UN EquityFieldData.csv,8065,5,40.79240988,40.77406862,41.3281153,40.20088932,1235755.994
APC UN EquityFieldData.csv,7875,5,34.80623796,34.79385082,35.28442083,34.29346047,1696044.339
APD UN EquityFieldData.csv,8066,5,52.01459267,52.03137202,52.49273336,51.52187489,581306.953
APH UN EquityFieldData.csv,5187,5,22.93454263,22.94597459,23.14086015,22.72469011,1048951.611
APTV UN EquityFieldData.csv,1539,5,52.99989253,53.01070273,53.5072165,52.47639532,476619.8173
ARE UN EquityFieldData.csv,5183,5,66.64640314,66.68076404,67.29444067,65.97690064,139291.749
ARNC UN EquityFieldData.csv,293,5,24.7378157,24.76583618,25.07003754,24.44669283,1144934.096
ATVI UW EquityFieldData.csv,6018,5,10.90071576,10.9108841,11.04166041,10.74770095,4401480.145
AVB UN EquityFieldData.csv,5994,5,84.20283951,84.23371438,84.98519069,83.38722606,258556.4706
AVGO UW EquityFieldData.csv,2116,5,86.35493856,86.36099716,87.33217628,85.2489603,762319.8644
AVY UN EquityFieldData.csv,8066,5,39.50721825,39.52112342,39.90778526,39.10325815,288593.9348
AWK UN EquityFieldData.csv,2441,5,42.93064318,42.94989349,43.26748587,42.58297132,315891.5571
AXP UN EquityFieldData.csv,8065,5,35.36637637,35.37222604,35.74713275,34.98680267,3373748.095
AYI UN EquityFieldData.csv,4051,5,74.86462207,74.9197334,75.7499605,73.98800938,162154.8783
AZO UN EquityFieldData.csv,6740,5,187.7015966,187.7750684,189.3414576,186.0888917,411506.1709
B UN EquityFieldData.csv,7976,5,16.46772386,16.47665519,16.64651331,16.28844872,88881.57635
BA UN EquityFieldData.csv,8064,5,58.51734325,58.53305345,59.09489782,57.93711074,2155862.047
BAC UN EquityFieldData.csv,8066,5,21.50612452,21.5048603,21.7480527,21.25864487,11236340.13
BAX UN EquityFieldData.csv,8064,5,20.60088459,20.61007491,20.79451932,20.40764781,1552134.357
BBT UN EquityFieldData.csv,6607,5,29.50178523,29.51587153,29.80272773,29.19540321,973328.5879
BBY UN EquityFieldData.csv,7675,5,22.08863575,22.08887747,22.42364598,21.74970676,2848213.671
BDX UN EquityFieldData.csv,8066,5,52.61514617,52.64010761,53.05555753,52.17175552,695330.6235
BEN UN EquityFieldData.csv,7829,5,20.56961756,20.57353246,20.7974239,20.33501777,1353096.775
BHF UW EquityFieldData.csv,115,5,59.35652174,59.36730435,60.01982609,58.7286087,327139.9739
BHGE UN EquityFieldData.csv,7735,5,39.48056173,39.46912056,40.05569354,38.86359502,1334114.741
BIIB UW EquityFieldData.csv,6620,5,80.12409592,80.11355257,81.25213384,78.96607583,1676596.242
BK UN EquityFieldData.csv,8065,5,25.48320941,25.48511498,25.79666176,25.16110972,1899015.361
BKNG UW EquityFieldData.csv,4722,5,473.8988911,473.5478693,479.5388244,467.6073044,403567.1305
BLK UN EquityFieldData.csv,4592,5,177.248868,177.284172,179.0943582,175.3275819,140241.8365
BLL UN EquityFieldData.csv,8065,5,10.22246019,10.22692624,10.31285751,10.12974966,1400535.579
BMY UN EquityFieldData.csv,8065,5,30.98542586,30.99071294,31.31395681,30.64547578,3597927.001
BSX UN EquityFieldData.csv,6453,5,14.32079321,14.32127466,14.50844238,14.12110015,3180363.544
BWA UN EquityFieldData.csv,6141,5,19.71126317,19.72008813,19.94545877,19.47484019,946089.147
BXP UN EquityFieldData.csv,5169,5,77.3852753,77.41122867,78.11467905,76.61356336,388448.4941
C UN EquityFieldData.csv,7858,5,173.1245252,172.9717236,175.189776,170.8030413,2467947.013
CA UW EquityFieldData.csv,2438,5,26.3507055,26.35811936,26.59577933,26.09822395,1330932.747
CAG UN EquityFieldData.csv,8064,5,17.61473371,17.6204703,17.77094325,17.45243833,1032188.363
CAH UN EquityFieldData.csv,5872,5,42.78614729,42.80300754,43.21093392,42.36181945,1159042.737
CAT UN EquityFieldData.csv,8066,5,41.61134637,41.60484669,42.04478838,41.13816685,2653320.609
CB UN EquityFieldData.csv,6239,5,53.46598525,53.47689021,53.96066341,52.95724379,789866.0803
CBG UN EquityFieldData.csv,3414,5,22.80174484,22.80278158,23.11555571,22.46321872,1026365.587
CBOE UW EquityFieldData.csv,1901,5,51.29778275,51.33000263,51.74577065,50.84815886,236929.0573
CBS UN EquityFieldData.csv,4715,5,34.90436496,34.90710973,35.34282534,34.46019343,2047260.581
CCI UN EquityFieldData.csv,4198,5,44.73847308,44.74879943,45.17239328,44.29153287,772608.8325
CCL UN EquityFieldData.csv,6573,5,33.13269551,33.13277703,33.49951998,32.74627869,1372486.956
CDNS UW EquityFieldData.csv,3063,5,15.92733595,15.94214496,16.10225406,15.76033121,1129712.133
CELG UW EquityFieldData.csv,7672,3,-99,-99,24.67140099,24.02062691,3685520.333
CERN UW EquityFieldData.csv,7832,3,-99,-99,15.7565196,15.40126949,1970318.615
CF UN EquityFieldData.csv,3119,5,28.09006925,28.09273164,28.53614768,27.63687945,2225504.738
CFG UN EquityFieldData.csv,824,5,28.28604369,28.2890534,28.590875,27.96629976,1298121.169
CHD UN EquityFieldData.csv,6898,5,13.55419053,13.55947518,13.65804539,13.44948992,567789.2891
CHK UN EquityFieldData.csv,5710,5,16.32029268,16.29415564,16.59642671,15.9986004,2669523.476
CHRW UW EquityFieldData.csv,5087,5,42.6384653,42.66634573,43.1088768,42.1760398,646818.5669
CHTR UW EquityFieldData.csv,1838,5,165.444303,165.5507514,167.2712905,163.6961768,345031.4739
CI UN EquityFieldData.csv,8066,5,36.99031689,37.01578068,37.40281664,36.61132879,1661455.897
CINF UW EquityFieldData.csv,8067,5,30.0968858,30.0987274,30.36545289,29.79409876,294382.8643
CL UN EquityFieldData.csv,8065,5,27.72062487,27.73756154,27.94411231,27.5016168,2666454.789
CLX UN EquityFieldData.csv,8066,5,47.49,47.50578031,47.87805839,47.09990863,543370.4835
CMA UN EquityFieldData.csv,8065,4,36.86677212,36.87415959,37.26884852,36.45491808,-99
CMCSA UW EquityFieldData.csv,8067,5,10.42442511,10.42459617,10.5471346,10.29561525,7298322.216
CME UW EquityFieldData.csv,2385,5,75.79571237,75.81587379,76.60602851,74.95683648,991586.0495
CMG UN EquityFieldData.csv,3004,5,298.1362117,298.1782157,301.5768702,294.7360033,182591.3499
CMI UN EquityFieldData.csv,8066,5,41.07914642,41.08293838,41.55756906,40.5948873,953829.5751
CMS UN EquityFieldData.csv,8066,5,23.84886158,23.85776531,24.05625304,23.63355145,590048.4106
CNC UN EquityFieldData.csv,3577,5,27.30476447,27.31962958,27.68222449,26.92627635,532036.1381
